Wages_Tips_Other_Compensation,Federal_Income_Tax_Withheld,Other_Income,Rents,Total_Income_W2,Appraised_Value,Borrower_Total_Income,Base,Overtime,Bonus,Commission,Mortgage_Amount
56801,4875,2584,1805,77323,462856,50325,3132,1059,682,1960,354860
74893,3868,2778,1471,83590,402343,68295,3752,2802,648,1423,697950
71606,4451,2724,1014,78753,420407,69746,3704,1877,1183,1147,553170
52270,3522,1705,1524,66733,491210,85962,3069,2267,1517,1234,550966
56835,6048,1278,1903,72879,287621,78581,2062,1030,1447,720,227137
48716,3938,1801,1884,83956,291232,58287,2955,2038,500,1425,425772
42957,5059,2429,1532,76930,384035,76369,2542,2413,1144,1836,473249
44959,3731,1794,1923,75026,347072,75627,3827,1104,564,1576,363709
74037,5381,2763,1220,51019,391308,71643,3032,2439,670,977,546982
66625,6501,2215,1279,71559,426005,89597,3018,2010,866,1682,499588
61203,5917,2653,1258,56266,366147,58800,3854,1553,1966,1566,463660
41428,5258,1105,1759,69228,349468,80505,3144,1874,591,1074,439842
64077,4482,2822,1319,81076,325588,78119,2183,1996,1441,1862,392772
48140,4673,2468,1165,66467,264045,77496,3801,1813,1755,849,472319
48464,6334,1777,1287,58996,317358,61703,3093,1325,757,1527,339382
48476,3643,1998,1521,78961,253502,63051,3256,2961,727,601,620623
68725,4788,2922,1747,71089,258436,88835,2799,1161,1271,969,289801
55377,5591,1803,1526,76550,378002,84885,3927,2992,1803,1843,756293
45457,4998,2968,1902,51263,272148,87547,3079,2349,906,1472,485252
66731,5614,1292,1578,74807,258242,81239,2318,2506,1651,948,436408
58553,4672,1218,1873,64200,450625,50619,2540,2488,541,600,518853
79837,5655,2927,1802,71392,296582,72786,3010,1419,1765,713,355097
54752,4796,1687,1279,82023,406803,88121,2100,1047,1908,927,284543
49986,4233,2897,1803,82309,413471,67076,2453,1702,1846,1680,400285
48387,6395,2100,1318,56176,315477,62493,3766,2698,1878,1254,639157
58748,5095,1416,1121,71461,341549,52933,2498,1851,1073,691,385560
53192,5467,1492,1948,68458,320749,89795,2878,2030,974,652,441028
66329,6839,1104,1515,83567,296261,69265,3528,1398,1812,1015,390886
43419,3926,1191,1564,55159,401687,73862,2115,2182,811,786,405767
65413,5711,2451,1612,53261,363839,81273,3079,1789,1700,1206,448900
61365,6328,1264,1454,88288,469943,52139,2260,1012,1699,1253,320525
46131,4102,1863,1007,60060,429555,55042,2292,1255,1259,1190,330647
57820,6578,1546,1645,88826,365310,52372,3316,1702,1759,1320,445839
58705,5090,2566,1697,69141,359004,76109,2835,2683,1991,1757,542314
70580,4289,2653,1418,57177,389953,80548,3825,2099,1967,647,569152
46213,4607,2342,1778,59266,476074,65063,3345,2788,1059,768,672178
54700,6512,2150,1666,84316,287106,67118,2742,2285,682,1887,445190
52799,4449,2471,1024,75472,260924,61653,3575,1602,1485,1189,415167
70998,4768,1077,1141,57099,455853,84685,2992,2634,1370,1112,584321
79495,5115,1300,1082,89728,485440,57624,2528,2037,1316,1384,471618
70689,3885,2197,1668,51325,304660,78799,2776,2857,1433,1137,535244
54049,5934,1537,1447,64041,499229,69448,2736,2676,1333,1991,581048
74911,5097,2356,1600,89835,432164,57198,2987,2522,1073,503,562316
59586,6705,2115,1312,67567,433857,79694,3817,1116,555,1366,412614
59239,4487,2194,1825,84058,373470,71926,2379,1292,1772,843,320286
78741,6290,1378,1199,78212,429535,67194,3151,2104,1799,764,511534
72949,4768,1360,1436,74489,380731,78495,2927,2817,1481,1055,579312
78450,5961,2177,1061,89903,493472,75611,2682,2046,1026,1936,486966
57066,5534,1392,1091,79171,312033,66608,2118,2523,856,1076,413862
50018,3950,2910,1053,67609,319426,54451,2727,2503,1979,1213,490006
49710,5235,2356,1804,69096,325608,68696,2346,2522,1443,1300,444052
41490,4141,1464,1092,52097,433466,71919,3120,1417,874,974,407209
78005,3597,1946,1902,89670,321970,68702,3987,1672,1012,1941,476484
47394,3059,1591,1241,57799,252992,50855,3115,2046,1512,1386,435185
50468,6610,1266,1372,69025,338594,69897,3562,2371,721,879,582654
53728,6840,1478,1104,72491,419190,53639,2394,1597,1506,1754,370504
68604,5377,1770,1408,74268,432558,56974,2916,2592,1916,694,559473
72242,5366,1779,1408,53532,476848,88315,3410,1291,1408,1897,422941
49884,5654,2926,1956,71661,319527,54430,2323,1491,1701,831,316868
52470,3564,2357,1297,50806,360574,66043,3922,1930,814,596,531443
71931,5823,2947,1115,77072,258295,68275,3920,1726,1494,1819,471234
68698,3583,1063,1220,84726,468157,89477,2363,2903,921,1372,554352
68578,3973,1791,1721,75051,370724,86819,3541,2082,1717,1576,535736
78819,3585,1803,1749,54924,306034,83041,3807,1144,1413,1200,351954
59675,6343,2455,1537,54000,432949,79401,3077,2255,900,1687,525421
76907,3292,2838,1013,76801,463770,66519,3179,1723,1298,1247,464997
51295,5686,2120,1174,75928,295913,86423,3636,1569,1539,1252,435256
73650,3515,1740,1195,66991,466345,55201,3271,2982,1722,1227,666685
76668,5656,1392,1310,63987,415616,88611,2990,2241,1326,1953,516838
64804,4917,2634,1701,68592,280232,77847,3543,1349,780,1794,377981
44656,5886,1897,1399,65247,462147,72454,3050,1575,650,1982,428378
44324,6325,1861,1364,83563,346562,54270,3855,2182,648,987,561624
52300,3866,1216,1347,58532,373787,79639,2523,2751,964,1349,506649
54694,5310,2345,1672,86962,459459,55799,3701,1810,749,1475,542331
56257,6399,2470,1377,82319,451622,83735,3516,1974,1052,1194,535922
48488,3641,1032,1587,89525,411567,64746,2189,2990,1815,1430,498867
49631,4966,2834,1007,87383,275218,89629,2876,1766,1836,1382,383404
71441,4849,2176,1711,63309,293165,58055,2549,2074,1818,586,398114
77911,5525,2281,1204,68464,465268,89339,2542,1625,1107,1681,404379
57557,6634,1960,1455,50956,305419,77904,3509,1232,1029,1546,333773
79019,4027,1196,1253,85123,276183,67699,3780,2494,1004,643,598015
40726,4053,1905,1955,69849,361086,72188,3957,1257,1991,1927,402284
52931,4724,1626,1482,54731,343850,77723,3512,1460,1325,1259,412857
49095,4853,1219,1405,50388,384742,69789,2229,1775,1179,1452,380355
79465,6892,2773,1268,73407,478758,79724,3843,2722,1638,1949,737268
52012,6337,2314,1559,52470,470588,88240,3499,2790,1787,1951,672551
58367,6172,1275,1196,83922,480789,70622,3558,1670,1335,694,498055
53984,5972,1342,1544,68132,271155,78969,2848,2867,1579,1431,541902
41367,6595,2995,1114,51468,281138,73038,3079,1346,761,916,326302
53990,3396,2008,1094,76546,400797,60538,2087,2856,1175,930,476434
48747,6145,1749,1398,88330,420781,82294,2148,1274,1710,1890,325721
55920,4716,1179,1828,64471,351420,67380,2983,2282,1418,1085,506816
51122,3940,1134,1283,89563,488220,80135,2386,1277,1251,933,371773
45249,6071,2506,1930,79712,293445,54675,2625,2240,1645,1371,428866
60724,4278,2498,1526,68408,487386,71075,2494,2897,1665,1865,558488
45904,4192,1506,1047,69521,445577,79164,2777,2573,775,1265,560855
61876,3243,1736,1570,84540,355866,70630,2833,1967,954,1532,445835
53063,4149,2034,1988,64027,400171,73741,3845,2634,1861,1913,682528
54402,5763,2968,1862,88244,432041,52722,3588,2323,1332,1654,598583
44724,5280,2781,1676,89195,442249,58790,3152,2787,1883,1786,631659
77489,5637,2090,1794,71867,473644,63928,2280,2541,1313,1983,488034
52979,3454,2949,1856,62991,258278,58753,2752,2384,1710,944,459414
70656,4813,1397,1836,76303,272546,51758,2688,2674,1766,1462,469396
61191,6821,2694,1887,73155,310608,82345,2802,1042,1539,1950,289281
40647,3146,2308,1535,81178,379824,79936,2844,2768,1044,1681,563196
43994,4862,1802,1668,76995,426862,72918,2712,1962,1091,1309,455377
41251,4738,1845,1432,86972,270651,80200,3599,2303,1281,648,547868
69009,5008,1171,1457,81000,307547,73280,3072,2876,1728,594,588883
44288,6755,2352,1033,82414,396640,85143,3228,1629,1930,1977,442716
76617,4563,1024,1269,78817,375153,86076,2055,1450,1051,876,332691
77780,6866,1428,1157,56743,306352,84590,3872,2859,1511,636,698062
72333,4776,1501,1664,56290,473237,79219,3974,2788,1685,1858,763391
43845,3434,2858,1216,52291,450605,51027,2188,2950,1278,968,501038
43165,5761,1546,1213,67255,461255,84417,2068,1975,1973,1825,390673
47268,5654,2662,1559,84254,474135,56799,3765,1651,773,1918,512298
46983,4096,2963,1853,89909,389901,60286,2628,2658,1208,1897,518308
59387,5544,2975,1675,70631,341900,55739,2819,1173,1234,1637,309186
59997,4175,1586,1726,62810,308060,84533,2868,1195,1080,662,326261
71347,3696,2020,1337,70873,326699,89175,3104,2591,1356,876,562364
70189,3059,1477,1792,54046,494492,80539,3445,2312,1158,1828,606989
50111,6078,2516,1581,86591,250560,58171,2054,2273,881,1496,364665
78148,4995,2492,1699,78008,302692,57954,2463,2317,1278,1515,435487
68019,4208,1145,1700,51870,498017,83569,2774,1055,1220,1598,346874
71429,4588,1283,1339,72930,446525,71852,2648,1538,922,1133,381400
41742,5619,1929,1985,53845,358437,85368,2691,2461,927,1609,487182
43858,6748,1068,1515,78245,272829,66503,3602,1214,1415,694,346213
43696,3429,2422,1292,61047,397215,75307,2956,1058,620,1485,327642
73306,5514,1860,1995,55826,352979,55979,2324,1707,1881,1302,342078
59592,6423,2736,1621,62747,270395,82603,3147,2180,1361,1285,475392
53650,3704,2554,1017,63902,349035,56534,3200,2898,689,1163,593152
76109,6363,2471,1550,73393,341327,77530,3209,1477,1320,1425,375777
51489,4877,1566,1680,60750,444151,82168,2827,1297,830,639,367906
42733,5322,1634,1092,77693,336567,86689,2153,1456,1675,668,319774
56295,3857,1557,1061,87492,251131,60350,2281,1428,1526,886,277099
78039,5312,2847,1113,80404,277709,81887,3266,2979,744,963,640951
65015,5503,2650,1793,50169,341888,75315,2421,2299,895,792,424127
42356,4498,1787,1760,51331,384846,76808,3503,1629,612,1156,456060
70882,6139,1211,1763,50834,496359,74037,3162,2064,1250,1060,537954
41177,4091,1178,1628,60341,487120,61287,2824,1824,1752,1535,462509
52738,4216,1649,1538,71062,447336,58085,3479,1663,1965,1431,478264
60780,5568,1172,1811,58452,384606,72412,2203,2065,1674,1857,395594
72586,6593,2211,1313,67192,258212,82179,3255,2599,782,1045,553273
41145,5898,2813,1176,72311,470795,76874,2048,1256,859,1340,342271
66915,5630,1371,1306,70198,441056,60680,2501,1021,1598,1710,310224
45829,3281,2235,1354,52138,481999,63258,3707,1479,534,1787,461394
75864,6483,1344,1779,69135,419150,78567,2289,1098,1618,1314,307843
55231,4812,2789,1922,71281,378537,75752,2745,2203,1005,1251,472861
54082,6547,1534,1793,68487,460578,51623,2890,2067,506,1782,500625
54982,4904,1917,1888,50449,447319,84308,2354,1268,1309,1989,337548
60790,4962,2007,1141,85948,262228,61828,3116,1372,1548,856,349126
64556,6119,2524,1836,76256,399780,76942,3515,1646,985,1798,460981
56513,5757,2844,1164,67870,282140,56136,3429,2375,1955,644,530693
57941,5556,2493,1943,84212,458927,71224,2300,1835,1719,1313,421688
53019,4530,1543,1280,78574,403392,65906,2068,1077,921,1024,295219
70791,4834,2626,1359,58046,465690,52815,3964,1606,1002,839,499418
65909,6402,1388,1769,78937,392440,65057,3739,1726,666,1661,498095
44201,3504,1319,1172,83940,318163,80177,3890,1377,957,584,415409
77105,4856,1586,1659,54157,429310,67685,3543,1132,1145,707,390432
58495,5156,2397,1208,68803,395656,66093,3041,2050,575,1360,491685
61509,4462,1017,1018,85525,406260,69544,3000,1167,1786,1737,338670
50803,5792,2302,1230,80601,292563,60587,3009,1564,1140,1572,372534
63223,6496,1757,1660,78172,421350,70476,2551,2041,1820,622,441602
53468,4731,2776,1396,77885,489013,64814,3868,2680,846,1253,717169
45289,4989,1730,1057,81102,283037,56000,3071,2543,1007,1803,525366
41270,4213,2448,1736,75941,468727,51656,2172,1393,1406,1334,335953
62229,6448,1067,1025,74420,438554,78176,3153,2809,1932,714,644542
42759,6432,2800,1286,54429,396119,68535,2460,2695,1245,503,496195
65273,5047,2136,1356,71245,457387,88186,2634,1537,928,1568,389050
59295,4232,2617,1013,77803,401633,69718,3073,1043,1872,915,347329
68629,6174,2298,1081,65767,292346,81856,2699,2833,797,979,506766
45698,3114,1808,1466,81127,413437,64874,2274,1351,1588,908,327361
42207,6193,1996,1228,82984,276232,68867,3187,1509,1576,635,363898
47961,4884,2646,1075,53066,424479,70580,2723,1476,1330,1591,381636
65619,4988,2931,1863,50683,443662,88394,3500,2400,972,965,618160
45538,6841,2868,1037,75857,351334,54160,3055,1993,599,1318,476797
49269,6825,1430,1186,74185,492882,87908,3698,2159,639,1952,603723
79774,3883,1687,1027,59602,338747,62059,3738,1174,1023,1640,365146
41132,3880,1860,1509,86729,425199,55813,2931,2297,1964,1576,512462
47903,4189,1827,1956,64140,403884,83192,2049,2043,1154,1561,379955
54407,3215,2693,1187,62290,432161,66259,2292,1977,1237,1824,409573
42691,3837,2214,1173,55050,252689,60686,2707,2510,979,1223,445803
50033,6458,1720,1936,58099,304624,79499,2338,1105,1218,1966,251709
76344,5794,1935,1415,56874,291944,63044,2124,1293,748,1685,257555
47832,3988,1916,1256,77585,338593,72386,2122,1291,1548,766,289452
47268,5019,2212,1128,84851,448188,63003,3199,1493,1381,1432,420742
72147,6593,1146,1959,61292,425972,86509,2576,1788,620,1672,420798
44130,5881,2254,1699,56323,399450,65609,2512,2496,1298,1488,488191
68113,4027,2015,1634,57491,317961,87847,2030,1763,1096,540,320417
46472,3584,1451,1256,75503,437005,78889,3807,2299,557,1125,622156
75848,6644,2634,1495,82558,433973,63374,2847,1178,1990,1315,365982
75296,6211,1986,1901,52424,266574,51096,3557,1465,1759,1464,382878
57102,6378,2467,1671,69107,293167,84658,3307,1117,1101,1599,331244
64438,5574,1957,1890,76829,376095,72750,3299,1368,1535,1337,389871
49190,3777,2437,1746,70631,457317,89406,3212,1136,1747,964,396090
52117,4517,2305,1509,52454,353384,81567,3735,1296,1598,1228,392180
67337,3942,2792,1456,77918,266319,66950,2899,2859,1248,1861,562902
51684,4833,1890,1903,52089,336234,76301,2860,2595,695,507,535003
59489,6987,1676,1281,59932,388524,77126,3768,1526,1498,1806,461636
76339,3899,2854,1990,51069,470293,56739,2874,1847,671,590,448266
47655,6474,2492,1043,50125,279228,79233,3034,2404,1926,1655,496353
45051,3723,1869,1832,61221,435298,70673,2138,2313,602,1416,420420
54810,3074,1678,1748,82684,432942,76816,2733,1032,528,973,336435
55420,3815,2237,1489,87566,367804,58829,3129,1755,1850,718,444826
71850,3162,2524,1383,69470,298481,63415,3377,2673,1991,954,590660
75226,5770,1140,1989,89274,436191,67901,3543,2144,561,1743,584092
52103,6784,1200,1411,89876,396698,87450,2780,1043,1047,1763,319884
65190,3655,1294,1773,70973,250672,72411,3449,1883,1778,1561,442605
60201,6952,1200,1102,77774,454102,82850,2541,1689,1239,1912,408800
71793,5148,1963,1890,63507,320372,74247,2380,1908,1925,586,378160
77602,6721,2706,1097,67859,421184,56286,2730,2403,1766,950,506936
48004,5886,2820,1197,61358,255650,88281,2355,2673,879,1221,429284
47646,6784,1260,1193,66967,452109,53167,3735,1352,1764,1880,441932
59191,3299,1640,1537,64226,400262,63999,2089,2170,1564,1267,399499
73798,6946,1024,1196,73762,393259,79808,3049,2512,717,1890,557131
67953,5669,1554,1575,54142,434095,77358,2336,2327,1748,791,454891
74072,3975,1883,1100,76658,421488,70418,2342,1925,663,952,416546
44789,3599,1253,1550,70894,485467,84844,2339,1281,699,1278,351851
53649,3465,1611,1164,85101,441531,78324,2012,2412,1212,1956,427530
53206,3545,1637,1084,60541,373545,69790,3679,1135,1959,1225,368575
41772,4305,1456,1877,83361,379711,81296,2242,1437,1919,1777,356199
48264,3770,2719,1815,74038,296264,80537,3245,2121,513,529,499294
72014,4237,1807,1552,62515,390859,50578,3809,1453,543,1258,447329
75177,3852,2913,1089,74676,267474,70866,2385,2473,948,1665,427858
49485,4182,2910,1070,62268,368015,79775,2076,2280,1595,895,387804
45126,4719,2472,1461,68610,374986,88277,2203,1266,1445,1730,296244
67420,6685,1156,1080,52001,461636,75278,2738,2917,1683,1977,603214
63452,3812,2958,1605,78757,272512,57666,3261,1561,936,1240,399497
44161,4039,2583,1357,87197,315602,71493,2330,2311,883,1117,411457
42676,6425,2797,1586,56284,276854,81058,3482,1456,732,1125,392860
73344,5047,1116,1120,53934,311176,58880,2181,1440,1724,988,287126
42233,5266,2212,1104,85357,494531,62856,3748,1003,1790,1412,379478
49945,4764,2774,1253,78481,473453,83315,2121,2078,1895,553,425993
47800,6209,2148,1159,89903,316114,88308,2922,1442,723,903,357790
45115,3281,1643,1256,69600,396301,75724,2833,1777,1014,742,424789
59203,4195,2823,1785,50208,408627,67715,2931,2437,1992,1833,519628
66633,5841,2224,1092,52862,489164,71709,3023,2535,926,1521,588031
52448,4892,2271,1671,74416,370431,63391,2153,2190,1804,701,383841
70210,4826,2370,1420,87537,288083,87196,2346,1128,566,1436,267723
79541,6311,2020,1374,84820,371139,74273,3182,2668,1931,504,601651
71645,3582,1060,1765,78587,363134,62298,3018,1579,1227,513,416179
74637,3333,2238,1078,89406,434941,63553,3212,1041,1461,1307,352418
73566,4412,2923,1813,76551,382230,66281,3224,2692,1433,1648,605518
55196,5993,2139,1920,87359,486604,53054,2861,1063,1512,925,353605
68855,5045,1379,1016,63816,345229,78376,3750,1308,827,938,413709
67453,3176,2658,1872,83316,459096,84352,3972,2097,715,1162,624232
42668,6363,2351,1781,60101,404208,85712,2170,2538,1155,578,446062
62942,3486,1858,1172,77178,468847,51820,3261,1946,1078,1425,518598
72779,4192,1983,1599,75209,315228,61408,2300,1095,1621,1188,259487
44569,6756,1579,1372,84004,477166,61464,3357,2395,1462,1439,608697
73385,5815,1472,1601,87272,340137,53741,3392,1342,1260,1886,389058
73047,3487,2303,1151,77327,276253,73248,2739,2218,830,640,436152
52798,3746,1627,1601,86163,363102,62955,3214,1438,1200,1544,395101
44860,4089,1957,1371,86303,321976,72611,2989,1461,774,614,374959
70065,4390,2945,1312,64695,393361,85342,3878,1015,1998,538,380142
51462,4025,2725,1343,63034,252962,76258,3933,1762,520,1688,467534
54837,3446,2619,1473,68077,303342,81322,3895,2985,1983,1762,732361
46910,6182,2340,1653,61207,353826,82321,3837,1857,1423,774,516504
52692,6678,2828,1379,62624,273355,88691,3472,1130,1525,1531,330397
49082,5095,1327,1731,54175,340578,56964,3538,1693,632,814,446156
53934,4381,1025,1123,61665,421865,84862,3364,1410,1192,803,420512
69906,4397,2438,1800,54495,362399,84187,3536,1775,1492,1844,474407
68415,4287,1132,1379,66008,447792,87221,3496,1022,557,1901,369316
79690,4298,1766,1617,57342,424641,66466,2764,2138,1039,529,477765
72530,5694,2390,1030,87769,252101,53605,3354,1047,1286,1964,288428
62977,6733,1815,1227,80249,338333,76128,2284,1967,547,1459,390240
75290,3762,1588,1741,87706,493731,74703,3241,1911,1578,1244,529656
43818,6655,1817,1850,82954,485118,50991,3748,1853,1953,1859,547856
68370,4556,1794,1497,77806,264555,50769,2838,2273,600,1080,456500
67775,3481,2967,1348,70759,467624,86703,3575,2413,1048,996,638758
49796,6017,1806,1859,88788,405218,89874,3462,1832,1507,929,507635
54132,6826,2743,1016,78166,436107,72217,2857,1888,1650,1773,452858
70087,4855,2673,1934,73440,469200,72609,3800,2638,1146,1112,702080
57738,6914,2198,1817,80166,256287,57002,2884,1690,500,1368,358255
61842,3989,2726,1569,57836,427199,53812,2452,1994,1155,1096,412521
50160,3073,2785,1347,88934,394972,65438,3397,2913,1943,1057,672026
79100,4875,1364,1463,84508,340636,68401,2838,2578,1312,626,518863
68806,6031,2377,1720,58479,363473,58465,3768,2659,1836,999,651494
43878,6667,1911,1090,66406,253176,57621,3276,2312,925,1012,496568
47219,3882,1956,1932,73196,289873,52037,2062,1673,1942,1790,307738
75804,4836,1073,1732,89327,258900,75922,3894,2783,1614,1765,678787
66724,3377,2424,1268,78910,447480,80928,3291,2097,1645,1122,541108
40719,3181,2637,1180,88259,317095,64741,3541,2615,690,721,619731
61025,5250,1979,1299,82818,299940,85749,2474,1776,817,1255,349413
46727,3866,2353,1960,77094,421764,69174,3469,2738,1340,1515,652299
40061,4987,1179,1365,88462,372144,56028,2438,2374,1264,1209,435677
62012,4074,1606,1319,50276,418968,71048,3801,2070,1078,734,564374
65885,5695,2457,1875,50895,492286,68482,3369,2126,833,1652,555163
41863,6619,1983,1221,85943,432214,76891,2829,1028,1087,1449,332948
47279,4467,1610,1761,83257,421847,72620,2578,2664,1066,1321,532229
46184,5915,1776,1395,85915,448709,75796,3583,2685,1609,1434,669955
71346,6363,1388,1633,78948,284051,55518,3488,2354,1433,513,541919
54350,6693,2678,1116,85578,490727,74286,2102,1521,511,1683,365059
52376,5958,2519,1757,83527,359781,86603,3184,1837,502,1635,465227
75008,6224,1074,1607,76903,364410,61596,3480,1662,1560,1055,441350
77740,4609,1124,1203,84299,329593,79103,3239,1931,1878,1005,469860
71394,6868,1475,1368,55620,347804,56378,3897,2269,1070,1995,577986
79690,5002,2908,1703,62356,475800,86896,2971,1756,739,738,462554
53545,3527,2546,1166,89165,409379,60914,2249,1550,1498,1275,353863
40772,4756,2414,1681,54436,374445,82768,2013,2746,1414,1998,427338
73400,4262,1388,1597,59323,298775,68998,3115,2630,606,583,550599
62437,3322,1298,1202,62613,446828,77191,2593,1466,1928,789,371928
47733,3878,1170,1038,74360,277636,87347,3243,2198,528,552,500030
69669,6342,2037,1073,80065,353246,67078,2723,2585,993,1090,499271
40504,6792,2304,1192,72076,353868,62394,3341,2178,1145,935,516231
74393,3037,2367,1721,86712,295847,80909,2684,1237,1574,653,301411
49066,3349,1226,1768,83357,446796,83003,3297,1822,535,726,501464
65165,6569,2248,1563,73499,265968,72980,3201,1088,824,1640,315878
53754,4537,2222,1499,75292,273316,73371,3187,2463,999,570,531024
65789,6429,2997,1352,83607,489141,75167,3234,1677,1996,1344,499703
72702,6651,1195,1215,53920,398695,72107,3434,1942,1381,1672,500946
46638,4460,2702,1348,84984,320154,89095,3020,2097,1888,791,463464
60807,6206,1788,1432,50140,461734,74673,2282,1518,1687,1459,369097
51036,4965,2779,1606,59620,434090,78172,2138,2602,1574,1546,481126
75617,3097,1104,1366,71068,423122,82773,2710,2698,1449,1331,543073
64842,4426,1677,1919,79003,465955,65892,2080,1102,1936,1718,314809
71074,6835,1285,1866,55768,418460,61159,3785,2115,892,1189,579279
40391,4608,1217,1959,66675,444622,88899,2431,1594,909,1094,385247
64922,3648,1634,1418,87917,389237,71365,2916,2661,730,1594,566276
43137,4240,1676,1193,77840,412136,74273,2869,2233,915,1128,504738
74331,4401,1485,1977,66329,488306,85692,3143,1614,1714,1597,469503
45903,5033,2912,1844,73203,378570,59082,2988,1909,890,1990,453100
72387,3616,2467,1042,59047,350634,60857,3610,1503,886,1892,429086
79575,6431,1817,1242,54586,487000,63861,2084,1218,744,590,343670
75942,6745,2145,1296,78085,363785,87809,2430,1307,1325,1759,333727
71177,5561,2077,1066,58331,469675,65574,2712,1240,1185,1721,369285
77065,4870,1847,1333,52377,301327,67300,3856,2043,1977,1659,521898
43440,3511,2352,1523,86663,401144,88050,3085,1524,516,1407,410548
53898,4605,1967,1400,59354,283704,61911,2440,1426,871,1233,304056
66864,5167,2582,1587,66607,394046,75730,2589,1976,1950,1334,431984
45780,3747,1508,1841,57474,402859,75218,3629,2205,1721,1015,571620
56278,3716,1055,1924,78778,429368,84697,2084,1927,609,680,389132
74454,6340,2511,1186,50392,252073,56509,2554,2473,1219,1410,425808
71185,6847,1197,1029,58450,382062,57183,2729,1150,1186,529,332838
53928,5715,1780,1581,50442,309647,80012,2863,1118,1528,1816,301825
76209,4796,1463,1345,54582,282649,64088,2841,2187,856,582,453859
48173,6453,2236,1890,68696,493173,53860,3421,1978,652,809,535615
53125,4585,1870,1797,87608,427278,66691,3859,2884,1128,1890,742272
77351,6329,2162,1518,50206,391682,70145,2813,2516,1617,561,523334
73137,6836,1786,1582,84746,291280,82143,2495,1977,1559,1616,396261
75384,4447,2779,1291,68204,464673,79009,2516,2701,1530,1511,522095
44400,4603,1756,1687,80298,432403,80521,2644,1323,543,1141,366793
56573,6135,2859,1608,74997,485391,66903,2760,1121,970,1633,378441
43298,6126,2395,1369,77769,365886,88604,2710,2594,662,1440,514061
54158,4916,2826,1301,82661,322033,80116,3374,2310,590,683,540559
47481,6952,1242,1898,65477,480176,53562,2345,1715,1534,757,406060
71569,3466,1451,1909,51019,366353,89335,3182,2661,1714,1193,583579
63108,6546,2126,1184,83382,403510,60639,3686,2916,910,896,716968
59255,6224,2048,1634,60336,298270,55179,3204,1331,508,1969,354277
47002,3322,2824,1478,71783,453459,58923,3118,1200,1870,818,387684
48441,3471,1932,1221,52165,277559,78794,2256,2830,922,1526,440383
40493,4786,1092,1015,75637,389266,71822,2293,1658,500,893,367237
58404,5053,2541,1662,59702,339010,51857,2971,1946,1709,970,436911
46227,3220,2595,1988,59617,465935,66062,2375,2762,1259,533,516515
45483,3818,2269,1415,52570,296190,89754,3114,1292,999,1481,347839
75524,3585,2820,1275,84557,287955,84384,2689,2790,905,1492,503582
77118,6069,1560,1340,52337,257908,65647,2764,2381,647,769,435650
70263,3678,1325,1557,61784,285052,70174,2799,2280,1176,632,460592
45208,5029,2916,1968,51214,402247,71585,2256,2201,1016,718,422972
74116,4589,1385,1645,77063,256939,76802,2292,1831,1742,868,322984
52272,3809,2517,1426,68980,310272,74948,2035,2198,1046,626,366111
78968,3439,1717,1637,52407,414483,51390,3969,2791,1141,1263,742838
50491,3092,2971,1400,81192,296914,52749,3198,2834,1675,705,586208
76129,5634,2099,1608,76481,417528,77079,3569,1105,962,1722,390833
55594,6471,1332,1041,55003,264399,68367,3119,1410,1854,540,357334
50656,5323,1623,1995,57682,255011,69348,2672,2009,1513,1405,388500
76455,3665,1115,1545,74294,388981,53098,3040,1929,1988,996,452875
50690,4764,1696,1169,84355,275911,62534,2065,2121,1703,793,338680
69615,4685,2924,1478,57869,378286,52056,2526,2551,1032,1478,476092
57330,6732,1119,1201,56250,442590,85235,3182,1998,1762,977,527842
66184,5515,2658,1635,60813,397741,89850,2737,1390,1126,1554,347662
59395,6419,2601,1546,50770,418104,81590,3610,2669,1973,1238,650150
40077,5875,1275,1934,89406,337438,56321,2358,1131,1190,1306,275815
74344,6790,2748,1963,87562,442277,66789,2394,1249,1302,1120,353961
72388,3948,1676,1960,67302,451618,58202,2312,1071,1990,791,313224
62284,5878,1044,1128,72125,310058,62561,3625,2019,1062,1411,499215
76935,5886,2533,1288,66740,477484,53737,2863,2133,1488,1254,499294
67500,5763,2193,1904,89575,362309,59412,2214,2951,570,634,491607
67637,3980,2635,1762,59112,301105,59597,2906,2735,840,1450,527540
46348,5318,2205,1722,85500,278074,74682,3005,2405,1077,1824,499431
72687,5053,1535,1680,52003,358455,79032,2189,1504,897,513,340785
49917,4268,2846,1881,74207,352367,77866,3653,1226,538,609,382410
54947,6130,2142,1612,58843,489521,69348,2059,2412,807,558,450368
74467,3416,1234,1080,61449,407803,87048,2321,2385,1597,600,461727
41521,5959,2287,1073,58925,262871,52999,3906,2833,659,1318,675161
70911,3929,1719,1377,72687,467395,68099,2609,2888,1724,1557,567311
48560,6725,2862,1147,87981,401518,61639,3303,1022,1780,1658,343916
46721,4146,2672,1577,84086,308900,73313,3412,1793,1421,1518,451212
69033,6118,2416,1681,64788,486033,56108,2927,2995,869,1930,635925
41794,3978,1576,1640,60062,311009,63534,3424,1091,1823,1220,315588
75395,6452,1195,1744,57405,298721,77512,2265,2718,775,575,433946
54487,3560,1922,1719,68488,471102,64197,3924,1212,1727,842,435622
78511,3519,2247,1409,58684,270555,86150,2658,2023,1073,1717,388988
52978,3815,1287,1498,78434,340266,85847,3977,1247,807,1303,402150
